"customer_id","frequency","recency","T","monetary_value","predicted_purchases_6m","predicted_avg_value","predicted_LTV_6m","gender","location","tenure_months","frequency_segment","value_segment"
"12,346",0,0,107,0,0.4861626467,"1,265.5940519673",615.2845539922,F,New York,31,Freq_Seg1,Value_Seg2
"12,347",2,223,282,"1,163.375",0.8679460347,"1,240.987166278","1,077.1098901",M,New York,20,Freq_Seg2,Value_Seg2
"12,348",1,119,192,693.731,0.5777731981,"1,187.3441858596",686.0156475496,M,California,39,Freq_Seg1,Value_Seg2
"12,350",0,0,17,0,0.9148335832,"1,265.5940519673","1,157.8079414476",M,California,25,Freq_Seg1,Value_Seg2
"12,356",0,0,107,0,0.4861626467,"1,265.5940519673",615.2845539922,F,Illinois,31,Freq_Seg1,Value_Seg2
"12,359",0,0,130,0,0.4350588202,"1,265.5940519673",550.607855058,M,New York,41,Freq_Seg1,Value_Seg2
"12,370",1,30,219,501.2,0.2746750749,"1,160.9995480661",318.8976378212,F,New York,21,Freq_Seg1,Value_Seg1
"12,373",0,0,24,0,0.8547403927,"1,265.5940519673","1,081.7543569254",F,New York,23,Freq_Seg1,Value_Seg2
"12,377",1,139,179,"5,419.652",0.6616157869,"1,834.0072010925","1,213.4081175656",F,California,27,Freq_Seg1,Value_Seg3
"12,383",3,72,171,722.1353333333,1.0734052151,"1,090.4385955451","1,170.4824752467",M,New York,32,Freq_Seg2,Value_Seg1
"12,386",1,123,279,53.346,0.3675809119,"1,099.7182405656",404.2354336581,M,California,38,Freq_Seg1,Value_Seg1
"12,388",0,0,114,0,0.4693567241,"1,265.5940519673",594.0150783126,M,Illinois,31,Freq_Seg1,Value_Seg2
"12,393",1,14,136,396.332,0.4389617743,"1,146.6501213445",503.3355717438,F,Illinois,39,Freq_Seg1,Value_Seg1
"12,395",2,161,325,301.175,0.5517309192,"1,033.4323471619",570.1765788746,F,New Jersey,10,Freq_Seg2,Value_Seg1
"12,402",0,0,94,0,0.5208795198,"1,265.5940519673",659.2220220335,F,California,22,Freq_Seg1,Value_Seg2
"12,410",0,0,10,0,0.9845857133,"1,265.5940519673","1,246.0858224257",M,California,8,Freq_Seg1,Value_Seg2
"12,413",1,22,153,19.432,0.4159590128,"1,095.0776785463",455.5074301479,F,New Jersey,15,Freq_Seg1,Value_Seg1
"12,414",1,1,18,422.071,1.6051929912,"1,150.172071743","1,846.2481482895",M,New York,43,Freq_Seg1,Value_Seg1
"12,415",2,18,158,13.9395,0.4355747612,964.287007048,420.0190828172,M,Illinois,29,Freq_Seg2,Value_Seg1
"12,417",2,114,188,586.149,1.0123514953,"1,102.0332831661","1,115.6450421111",F,California,37,Freq_Seg2,Value_Seg1
"12,421",0,0,76,0,0.5783035682,"1,265.5940519673",731.8975561911,F,California,38,Freq_Seg1,Value_Seg2
"12,422",1,1,103,630.774,0.5099482777,"1,178.7295764639",601.0911173473,M,Illinois,50,Freq_Seg1,Value_Seg2
"12,423",0,0,172,0,0.3652981787,"1,265.5940519673",462.3192021705,M,New York,9,Freq_Seg1,Value_Seg2
"12,427",1,163,333,812.66,0.3335289854,"1,203.6176245689",401.44136518,F,New York,37,Freq_Seg1,Value_Seg2
"12,429",0,0,262,0,0.2723131941,"1,265.5940519673",344.6379587726,F,New Jersey,43,Freq_Seg1,Value_Seg2
"12,431",4,323,363,968.03825,1.455761226,"1,150.1299483229","1,674.3145835895",F,New Jersey,14,Freq_Seg2,Value_Seg1
"12,433",2,91,356,"8,000.882",0.2498322527,"2,886.9597116153",721.2556482085,M,California,32,Freq_Seg2,Value_Seg3
"12,434",0,0,222,0,0.306982036,"1,265.5940519673",388.5146387777,F,Illinois,32,Freq_Seg1,Value_Seg2
"12,437",2,112,129,829.379,1.5483771957,"1,160.585311296","1,797.023829695",F,New Jersey,50,Freq_Seg2,Value_Seg1
"12,441",1,1,278,110.8,0.1171842544,"1,107.5798567198",129.7909196657,F,Illinois,39,Freq_Seg1,Value_Seg1
"12,451",0,0,103,0,0.4963302598,"1,265.5940519673",628.1526245639,M,Washington DC,49,Freq_Seg1,Value_Seg2
"12,464",0,0,13,0,0.95335886,"1,265.5940519673","1,206.56530257",M,New York,26,Freq_Seg1,Value_Seg2
"12,468",0,0,51,0,0.6838394815,"1,265.5940519673",865.4631802726,F,California,9,Freq_Seg1,Value_Seg2
"12,471",10,332,347,"1,229.592",3.8691612716,"1,243.5179639441","4,811.3715466934",F,California,11,,
"12,472",2,292,354,"5,183.227",0.7432567839,"2,208.6740773582","1,641.6119913977",F,New Jersey,2,Freq_Seg2,Value_Seg3
"12,474",5,240,300,"1,121.3112",1.9158497652,"1,201.7981874186","2,302.464775228",F,New York,17,Freq_Seg2,Value_Seg2
"12,476",1,194,227,"2,545.372",0.5803787505,"1,440.7101968845",836.1575839385,M,Illinois,14,Freq_Seg1,Value_Seg3
"12,477",0,0,26,0,0.8390607707,"1,265.5940519673","1,061.910320648",F,California,10,Freq_Seg1,Value_Seg2
"12,480",0,0,147,0,0.4037942182,"1,265.5940519673",511.0395607683,M,California,22,Freq_Seg1,Value_Seg2
