"customer_id","frequency","recency","T","monetary_value","expected_purchases_180d","expected_avg_order_value","predicted_clv_180d","profit_margin_5pct","segment_name"
"12,347",2,223,282,"1,425.26",1.3236352392,"2,510.5203022675","36,630.93593331","1,831.5467966655",Mid-Low
"12,348",1,119,192,760.24,1.1332693674,"5,605.7957711903","67,918.3194639109","3,395.9159731955",Mid-Low
"12,370",1,30,219,691.79,0.5586219066,"5,101.6280254873","30,784.6048402236","1,539.2302420112",Low
"12,377",1,139,179,"6,814.81",1.2312714317,"50,200.6665980877","657,236.4252505751","32,861.8212625288",Mid-High
"12,383",3,72,171,890.11,1.6228537856,"1,250.6878117101","21,506.1778987381","1,075.3088949369",Mid-Low
"12,386",1,123,279,57.94,0.8318839912,433.0126038093,"3,967.3736087504",198.3686804375,Low
"12,393",1,14,136,483.92,0.7376192031,"3,570.5637552274","27,432.7691165462","1,371.6384558273",Low
"12,395",2,161,325,393.25,1.0126218916,693.2306386223,"7,827.9854735233",391.3992736762,Low
"12,413",1,22,153,22.79,0.7611980472,174.1156533131,"1,392.5689205239",69.6284460262,Low
"12,414",1,1,18,589.03,1.3774467233,"4,344.7503403384","56,126.9414643695","2,806.3470732185",Mid-Low
"12,415",2,18,158,15.075,0.7515323398,27.2937595716,216.043222055,10.8021611027,Low
"12,417",2,114,188,642.37,1.4943680401,"1,131.9116601311","18,054.0966607419",902.7048330371,Mid-Low
"12,422",1,1,103,866.61,0.6029355468,"6,389.2628728766","39,347.2939255196","1,967.364696276",Low
"12,427",1,163,333,897.56,0.779372061,"6,617.2247681215","57,624.3752380264","2,881.2187619013",Low
"12,431",4,323,363,"1,165.56",1.7615921353,"1,487.0643919678","29,476.4553745572","1,473.8227687279",Mid-Low
"12,433",2,91,356,"8,742.285",0.5506787929,"15,395.2345018721","95,243.4558546689","4,762.1727927334",Low
"12,437",2,112,129,"1,164.34",1.8829022461,"2,051.0603948651","40,072.169274302","2,003.6084637151",Mid-Low
"12,441",1,1,278,155.5,0.1294910941,"1,151.5897443613","1,641.9171957468",82.0958597873,Low
"12,471",10,332,347,"1,488.307",3.6623573268,"1,629.1918633441","66,892.3689925568","3,344.6184496278",Mid-Low
