"month","product_category","revenue","gross_profit","coupon_dollars","net_profit_after_coupons","roas"
2019-01-01,Accessories,58.07,29.035,580.7,-551.665,0.05
2019-01-01,Android,100.24,50.12,"1,002.4",-952.28,0.05
2019-01-01,Apparel,"53,831.06","26,915.53","538,310.6","-511,395.07",0.05
2019-01-01,Backpacks,309.21,154.605,0,154.605,
2019-01-01,Bags,"13,966.2","6,983.1","139,662","-132,678.9",0.05
2019-01-01,Bottles,"1,080.43",540.215,"10,804.3","-10,264.085",0.05
2019-01-01,Drinkware,"19,010.96","9,505.48","190,109.6","-180,604.12",0.05
2019-01-01,Fun,408.94,204.47,0,204.47,
2019-01-01,Gift Cards,283.69,141.845,"2,836.9","-2,695.055",0.05
2019-01-01,Google,"1,245.71",622.855,0,622.855,
2019-01-01,Headgear,"2,819.89","1,409.945","28,198.9","-26,788.955",0.05
2019-01-01,Housewares,"1,577.74",788.87,"15,777.4","-14,988.53",0.05
2019-01-01,Lifestyle,"9,895.81","4,947.905","98,958.1","-94,010.195",0.05
2019-01-01,More Bags,"1,446.46",723.23,0,723.23,
2019-01-01,Nest-Canada,"10,007.92","5,003.96","100,079.2","-95,075.24",0.05
2019-01-01,Nest-USA,"294,900.72","147,450.36","2,949,007.2","-2,801,556.84",0.05
2019-01-01,Notebooks & Journals,"7,823.56","3,911.78","78,235.6","-74,323.82",0.05
2019-01-01,Office,"43,109.76","21,554.88","431,097.6","-409,542.72",0.05
2019-01-01,Waze,990.53,495.265,"9,905.3","-9,410.035",0.05
2019-02-01,Android,26.49,13.245,529.8,-516.555,0.025
2019-02-01,Apparel,"51,215.94","25,607.97","1,024,318.8","-998,710.83",0.025
2019-02-01,Backpacks,606.22,303.11,0,303.11,
2019-02-01,Bags,"22,117.93","11,058.965","442,358.6","-431,299.635",0.025
2019-02-01,Bottles,568.11,284.055,"11,362.2","-11,078.145",0.025
2019-02-01,Drinkware,"19,715.75","9,857.875","394,315","-384,457.125",0.025
2019-02-01,Fun,454.3,227.15,0,227.15,
2019-02-01,Gift Cards,400,200,"8,000","-7,800",0.025
2019-02-01,Google,"1,722.13",861.065,0,861.065,
2019-02-01,Headgear,"5,219.4","2,609.7","104,388","-101,778.3",0.025
2019-02-01,Housewares,174.24,87.12,"3,484.8","-3,397.68",0.025
2019-02-01,Lifestyle,"12,487.81","6,243.905","249,756.2","-243,512.295",0.025
2019-02-01,More Bags,475.82,237.91,0,237.91,
2019-02-01,Nest-Canada,"4,169.75","2,084.875","83,395","-81,310.125",0.025
2019-02-01,Nest-USA,"203,461.03","101,730.515","4,069,220.6","-3,967,490.085",0.025
2019-02-01,Notebooks & Journals,"6,694.83","3,347.415","133,896.6","-130,549.185",0.025
2019-02-01,Office,"29,832.23","14,916.115","596,644.6","-581,728.485",0.025
2019-02-01,Waze,694.42,347.21,"13,888.4","-13,541.19",0.025
