"product_category","tenure_segment","customer_location","i_arpu_w","treated_cust","coupon_budget","i_revenue","i_gross_profit","i_net_profit_after_coupons","i_roas_on_coupons","go_flag"
Accessories,Tenure_Q1,California,-7.0216666667,3,3.692,-21.065,-10.5325,-14.2245,-2.8527898158,NO-GO
Accessories,Tenure_Q1,Illinois,64.4111111111,6,94.568,386.4666666667,193.2333333333,98.6653333333,2.0433268477,GO
Accessories,Tenure_Q1,New Jersey,0,0,0,0,0,0,,NO-GO
Accessories,Tenure_Q1,New York,-12.66,2,1.455,-25.32,-12.66,-14.115,-8.7010309278,NO-GO
Accessories,Tenure_Q1,Washington DC,0,0,0,0,0,0,,NO-GO
Accessories,Tenure_Q2,California,39.23,6,32.775,235.38,117.69,84.915,3.5908466819,GO
Accessories,Tenure_Q2,Illinois,2.8225,7,18.065,19.7575,9.87875,-8.18625,0.5468447274,NO-GO
Accessories,Tenure_Q2,New Jersey,0,1,4.884,0,0,-4.884,0,NO-GO
Accessories,Tenure_Q2,New York,22.6733333333,4,27.151,90.6933333333,45.3466666667,18.1956666667,1.670165617,GO
Accessories,Tenure_Q2,Washington DC,0,0,0,0,0,0,,NO-GO
Accessories,Tenure_Q3,California,161.8675,5,221.623,809.3375,404.66875,183.04575,1.8259330033,GO
Accessories,Tenure_Q3,Illinois,95.0425,4,28.055,380.17,190.085,162.03,6.7754410978,GO
Accessories,Tenure_Q3,New Jersey,0,3,13.795,0,0,-13.795,0,NO-GO
Accessories,Tenure_Q3,New York,74.7,3,39.831,224.1,112.05,72.219,2.8131354975,GO
Accessories,Tenure_Q3,Washington DC,0,0,0,0,0,0,,NO-GO
Accessories,Tenure_Q4,California,58.7233333333,4,38.952,234.8933333333,117.4466666667,78.4946666667,3.0151639625,GO
Accessories,Tenure_Q4,Illinois,-11.5895833333,6,18.46,-69.5375,-34.76875,-53.22875,-1.883464247,NO-GO
Accessories,Tenure_Q4,New Jersey,0,1,1.037,0,0,-1.037,0,NO-GO
Accessories,Tenure_Q4,New York,1.8066666667,6,12.539,10.84,5.42,-7.119,0.4322513757,NO-GO
Accessories,Tenure_Q4,Washington DC,-6.79,1,0.798,-6.79,-3.395,-4.193,-4.2543859649,NO-GO
Android,Tenure_Q1,California,0,0,0,0,0,0,,NO-GO
