"month_str","control_mean","treated_mean","i_treated_control_gap_diag"
"2019-01",852.58,"30,630.4386666667","29,777.8586666667"
"2019-02",814.6175,"25,484.1378571429","24,669.5203571429"
"2019-03","1,349.2525","27,000.7346666667","25,651.4821666667"
"2019-04","1,331.5525","29,184.93","27,853.3775"
"2019-05","1,114.205","22,980.1846666667","21,865.9796666667"
"2019-06",819.1233333333,"23,742.506","22,923.3826666667"
"2019-07","1,274.76","27,835.848","26,561.088"
"2019-08",756.3033333333,"28,752.564375","27,996.2610416667"
"2019-09",497.26,"26,703.9533333333","26,206.6933333333"
"2019-10",868.24,"32,421.9057142857","31,553.6657142857"
"2019-11",383.96,"49,170.0536363636","48,786.0936363636"
"2019-12",,"43,164.6292307692",
