"CustomerID","frequency","recency","T","monetary_value","predicted_purchases_6m","predicted_avg_value","predicted_LTV_6m","Gender","Location","Tenure_Months","Marketing_Spend","ROI_pct","ROI_ratio","Coupon_Count","Coupon_Usage_Quartile"
"12,347",0,0,169,0,0.4188710451,"1,389.0011985875",581.8123837398,M,New York,20,"3,881.871",-85.0120629011,0.149879371,12,Q4
"12,348",0,0,79,0,0.6449006757,"1,389.0011985875",895.7678115864,M,California,39,299.618,198.9699589432,2.9896995894,10,Q4
"12,359",0,0,17,0,1.0423610498,"1,389.0011985875","1,447.8407475421",M,New York,41,120.362,"1,102.9051922883",12.0290519229,3,Q1
"12,370",1,30,106,691.79,0.7556175399,"1,263.4393439651",954.6769288371,F,New York,21,"1,442.394",-33.8130268958,0.661869731,12,Q4
"12,377",0,0,66,0,0.700166502,"1,389.0011985875",972.5321105058,F,California,27,"1,629.616",-40.3213940888,0.5967860591,11,Q4
"12,383",2,42,58,"1,326.29",2.3820702756,"1,369.8607214668","3,263.1045062564",M,New York,32,555.723,487.1818345212,5.8718183452,15,Q4
"12,386",1,123,166,57.94,0.7459961406,"1,149.2883066415",857.364641233,M,California,38,165.379,418.4241295648,5.1842412956,5,Q2
"12,388",0,0,1,0,1.2471835961,"1,389.0011985875","1,732.3395098796",M,Chicago,31,210.666,722.3156607519,8.2231566075,7,Q3
"12,393",1,14,23,483.92,1.7994912664,"1,226.0037107262","2,206.1829700004",F,Chicago,39,446.686,393.9001826788,4.9390018268,7,Q3
"12,395",2,161,212,393.25,1.1226471203,"1,085.0817477757","1,218.1638993792",F,New Jersey,10,327.578,271.8698750768,3.7186987508,9,Q3
"12,413",1,22,40,22.79,1.4912566043,"1,142.9580881956","1,704.4437974875",F,New Jersey,15,293.313,481.1006663488,5.8110066635,6,Q2
"12,415",2,18,45,15.075,2.3616920469,969.6565908954,"2,290.0302589808",M,Chicago,29,277.709,724.6150679239,8.2461506792,8,Q3
"12,417",1,36,75,62.21,1.0792881313,"1,150.0572976163","1,241.2431915893",F,California,37,286.904,332.6336306184,4.3263363062,11,Q4
"12,423",0,0,59,0,0.7341789266,"1,389.0011985875","1,019.7754089991",M,New York,9,72.593,"1,304.7847712577",14.0478477126,5,Q2
"12,427",1,163,220,897.56,0.6115194995,"1,300.4967849213",795.27914304,F,New York,37,180.454,340.710177131,4.4071017713,6,Q2
"12,429",0,0,149,0,0.4540231639,"1,389.0011985875",630.6387188485,F,New Jersey,43,223.974,181.5678243227,2.8156782432,5,Q2
"12,431",2,176,250,981.635,0.9530957874,"1,264.6664134227","1,205.3482310823",F,New Jersey,14,910.252,32.4191796428,1.3241917964,11,Q4
"12,433",2,91,243,"2,972.35",0.6141087516,"1,872.26498863","1,149.7743147947",M,California,32,"1,376.135",-16.4490173715,0.8355098263,8,Q3
"12,434",0,0,109,0,0.5460874205,"1,389.0011985875",758.5160816142,F,Chicago,32,6.304,"11,932.2982489556",120.3229824896,2,Q1
"12,437",0,0,16,0,1.0530700265,"1,389.0011985875","1,462.7155290139",F,New Jersey,50,714.354,104.7605989487,2.0476059895,7,Q3
"12,441",1,1,165,155.5,0.2976216204,"1,166.8580395456",347.2821804767,F,Chicago,39,519.354,-33.1318945311,0.6686810547,3,Q1
"12,471",8,222,234,"1,469.98375",4.2724810836,"1,440.6123111765","6,154.9888482617",F,California,11,"2,577.104",138.8335452609,2.3883354526,19,Q4
"12,472",1,47,241,"7,814.75",0.3067998019,"2,546.224344856",781.1811246548,F,New Jersey,2,"1,812.279",-56.8950959176,0.4310490408,16,Q4
"12,474",3,182,187,909.1966666667,1.9698249277,"1,198.4193280268","2,360.6762661931",F,New York,17,"1,206.074",95.732290572,1.9573229057,10,Q4
"12,476",0,0,114,0,0.5325460452,"1,389.0011985875",739.7070950306,M,Chicago,14,631.122,17.2050879276,1.1720508793,7,Q3
"12,480",0,0,34,0,0.8898342531,"1,389.0011985875","1,235.9808440714",M,California,22,257.366,380.2424733925,4.8024247339,7,Q3
