"transaction_date","transaction_id","customer_id","customer_gender","customer_location","customer_tenure_months","produkt_sku","product_category","quantity","avg_price","delivery_charges","revenue","coupon_status","discount_pct","gst_onsale","daily_offline","daily_online","transaction_month","transaction_month_str","AOV_segment"
2019-08-28,"36,771","13,093",M,California,35,GGOEWCKQ085457,Accessories,1,13.59,12.99,26.58,Not Used,20,0.1,"3,000","2,178.57",8,aug,Medium-High
2019-08-22,"36,278","17,965",F,Illinois,7,GGOEGBPB081999,Accessories,1,27.99,6,33.99,Used,20,0.1,"2,500","1,172.96",8,aug,Low
2019-08-24,"36,474","15,311",F,Illinois,40,GGOEGBPB081999,Accessories,6,27.99,6,173.94,Clicked,20,0.1,"2,500","2,168.34",8,aug,Medium-High
2019-12-06,"45,884","14,606",F,Illinois,33,GGOEGFKA086699,Accessories,1,4.07,12.48,16.55,Clicked,30,0.1,"3,500","1,957.58",12,dec,Medium-High
2019-12-03,"45,433","12,681",M,Illinois,27,GGOEAFKA087499,Accessories,1,2.44,6.5,8.94,Not Used,30,0.1,"3,500","2,011.57",12,dec,High
2019-12-18,"47,424","14,606",F,Illinois,33,GGOEAFKA087499,Accessories,1,3.05,6,9.05,Used,30,0.1,"4,500",663.46,12,dec,Medium-High
2019-12-18,"47,424","14,606",F,Illinois,33,GGOEGFKA086699,Accessories,1,5.09,6,11.09,Clicked,30,0.1,"4,500",663.46,12,dec,Medium-High
2019-12-18,"47,424","14,606",F,Illinois,33,GGOEAFKA087599,Accessories,1,3.05,6,9.05,Used,30,0.1,"4,500",663.46,12,dec,Medium-High
2019-12-04,"45,551","14,911",F,California,34,GGOEAFKA087499,Accessories,1,2.44,6.5,8.94,Clicked,30,0.1,"3,500",909.19,12,dec,Medium-High
2019-12-09,"46,253","14,180",F,California,11,GGOEGFKA086699,Accessories,2,5.09,6,16.18,Clicked,30,0.1,"3,500","2,481.51",12,dec,High
2019-12-05,"45,732","15,039",F,Illinois,19,GGOEWCKQ085457,Accessories,5,13.85,44.22,113.47,Clicked,30,0.1,"3,500","2,973.53",12,dec,Medium-High
2019-12-10,"46,282","12,682",F,Illinois,33,GGOEGFKA086699,Accessories,1,5.09,6,11.09,Used,30,0.1,"4,000","3,897.2",12,dec,Medium-Low
2019-12-05,"45,674","17,511",F,Illinois,25,GGOEAFKA087499,Accessories,1,2.44,6.5,8.94,Clicked,30,0.1,"3,500","2,973.53",12,dec,Medium-High
2019-12-26,"48,123","16,725",F,Illinois,48,GGOEAFKA087499,Accessories,1,2.44,6.5,8.94,Used,30,0.1,"4,000","1,881.66",12,dec,Low
2019-01-29,"19,075","14,031",F,Illinois,17,GGOEGBPB081999,Accessories,1,51.57,6.5,58.07,Clicked,10,0.1,700,836.13,1,jan,Medium-Low
2019-07-18,"33,037","17,975",M,Illinois,6,GGOEGBPB082099,Accessories,1,33.59,12.91,46.5,Used,10,0.1,"2,000","2,408.61",7,jul,Low
2019-07-05,"31,880","15,640",F,California,30,GGOEGBPB082099,Accessories,20,47.99,42.28,"1,002.08",Used,10,0.1,"2,000","2,103.13",7,jul,Medium-Low
2019-07-05,"31,880","15,640",F,California,30,GGOEGBPB081999,Accessories,20,39.99,42.28,842.08,Not Used,10,0.1,"2,000","2,103.13",7,jul,Medium-Low
2019-07-05,"31,878","15,640",F,California,30,GGOEWCKQ085457,Accessories,1,13.59,6.5,20.09,Clicked,10,0.1,"2,000","2,103.13",7,jul,Medium-Low
2019-06-01,"29,394","13,767",F,Illinois,29,GGOEWCKQ085457,Accessories,1,13.59,6,19.59,Clicked,30,0.1,500,320.25,6,jun,Medium-High
2019-06-26,"31,297","12,471",F,California,11,GGOEGBPB081999,Accessories,1,39.99,19.99,59.98,Clicked,30,0.1,"1,500","1,478.19",6,jun,Low
2019-06-29,"31,610","14,032",M,New York,50,GGOEWCKQ085457,Accessories,1,16.99,6,22.99,Clicked,30,0.1,"1,500","2,652.13",6,jun,High
2019-06-07,"29,788","14,527",M,California,43,GGOEWCKQ085457,Accessories,1,13.59,6,19.59,Clicked,30,0.1,"3,500","1,694.16",6,jun,Medium-Low
2019-06-01,"29,340","17,841",M,California,21,GGOEGBPB082099,Accessories,1,59.99,6,65.99,Used,30,0.1,500,320.25,6,jun,Medium-High
2019-06-01,"29,340","17,841",M,California,21,GGOEGBPB081999,Accessories,1,49.99,6,55.99,Clicked,30,0.1,500,320.25,6,jun,Medium-High
2019-03-04,"22,006","14,748",F,Illinois,31,GGOEGBPB082099,Accessories,1,59.99,6.5,66.49,Clicked,30,0.1,"4,000",642.34,3,mar,Low
2019-05-13,"27,963","13,069",F,New York,38,GGOEWCKQ085457,Accessories,1,16.99,6,22.99,Used,20,0.1,"3,000","2,697.6",5,may,Low
2019-11-28,"45,063","17,068",F,Washington DC,31,GGOEAFKA087599,Accessories,1,2.99,6,8.99,Clicked,20,0.1,"3,000","1,375.26",11,nov,Medium-Low
2019-11-19,"43,856","17,965",F,Illinois,7,GGOEAFKA087499,Accessories,1,2.39,6,8.39,Not Used,20,0.1,"2,500","1,915.27",11,nov,Low
2019-11-28,"45,063","17,068",F,Washington DC,31,GGOEAFKA087499,Accessories,1,2.99,6,8.99,Clicked,20,0.1,"3,000","1,375.26",11,nov,Medium-Low
2019-11-25,"44,519","17,841",M,California,21,GGOEGFKA086699,Accessories,3,3.99,6.5,18.47,Clicked,20,0.1,"2,500","2,643.59",11,nov,Medium-High
2019-11-25,"44,519","17,841",M,California,21,GGOEAFKA087599,Accessories,3,2.39,6.5,13.67,Used,20,0.1,"2,500","2,643.59",11,nov,Medium-High
2019-11-03,"42,536","15,867",M,New York,11,GGOEAFKA087499,Accessories,2,2.39,6.5,11.28,Used,20,0.1,"2,000","2,294.09",11,nov,Medium-Low
2019-11-25,"44,531","17,841",M,California,21,GGOEGFKA086699,Accessories,1,3.99,12.99,16.98,Not Used,20,0.1,"2,500","2,643.59",11,nov,Medium-High
2019-11-15,"43,487","16,725",F,Illinois,48,GGOEAFKA087499,Accessories,1,2.99,6,8.99,Used,20,0.1,"4,000",737.08,11,nov,Low
2019-11-15,"43,474","15,311",F,Illinois,40,GGOEGFKA086699,Accessories,5,4.99,6,30.95,Clicked,20,0.1,"4,000",737.08,11,nov,Medium-High
