"date","offline_spend","online_spend"
2019-01-01,"4,500","2,424.5"
2019-01-02,"4,500","3,480.36"
2019-01-03,"4,500","1,576.38"
2019-01-04,"4,500","2,928.55"
2019-01-05,"4,500","4,055.3"
2019-01-06,"4,500","3,796.85"
2019-01-07,"4,500","2,579.52"
2019-01-08,"5,000","2,551.38"
2019-01-09,"5,000","3,287.83"
2019-01-10,"5,000",515.44
2019-01-11,"5,000","1,757.58"
2019-01-12,"5,000","2,435.97"
2019-01-13,"5,000","2,449.65"
2019-01-14,"5,000","1,920.57"
2019-01-15,"3,000","1,734.68"
2019-01-16,"3,000","3,727.61"
2019-01-17,"3,000",417.73
2019-01-18,"3,000","1,312.5"
2019-01-19,"3,000","2,753.56"
2019-01-20,"3,000","2,073.51"
2019-01-21,"3,000",640.93
2019-01-22,"1,000","1,049.73"
2019-01-23,"1,000","1,356.59"
2019-01-24,"1,000",560.02
2019-01-25,"1,000","1,124.95"
2019-01-26,"1,000",937.58
2019-01-27,"1,000",687.86
2019-01-28,"1,000",993.69
2019-01-29,700,836.13
2019-01-30,700,981.86
2019-01-31,700,"1,380.14"
2019-02-01,700,692.67
2019-02-02,700,770.87
2019-02-03,700,"2,091.61"
2019-02-04,700,"2,216.98"
2019-02-05,"3,000","2,486.46"
2019-02-06,"3,000","1,665.47"
2019-02-07,"3,000",877.2
2019-02-08,"3,000","1,973.27"
2019-02-09,"3,000","2,659.34"
2019-02-10,"3,000","2,037.41"
2019-02-11,"3,000","2,864.69"
2019-02-12,"3,000","2,844.64"
2019-02-13,"3,000","2,007.32"
2019-02-14,"3,000",830.68
2019-02-15,"3,000","1,738.89"
2019-02-16,"3,000","3,784.07"
2019-02-17,"3,000","2,107.67"
2019-02-18,"3,000","1,586.43"
2019-02-19,"3,500","1,720.16"
2019-02-20,"3,500","2,768.28"
2019-02-21,"3,500",727.39
2019-02-22,"3,500",939.9
2019-02-23,"3,500","2,548.51"
2019-02-24,"3,500","2,280.26"
2019-02-25,"3,500","1,469.84"
2019-02-26,"4,000","1,951.71"
2019-02-27,"4,000","4,349.02"
2019-02-28,"4,000","1,817.18"
2019-03-01,"4,000","1,880.22"
2019-03-02,"4,000","1,258.6"
2019-03-03,"4,000","2,066.29"
2019-03-04,"4,000",642.34
2019-03-05,"2,500","1,153.36"
2019-03-06,"2,500","1,827.02"
2019-03-07,"2,500","2,335.35"
2019-03-08,"2,500","1,918.53"
2019-03-09,"2,500","1,768.28"
2019-03-10,"2,500","1,294.22"
2019-03-11,"2,500",973.15
2019-03-12,"2,000",731.1
2019-03-13,"2,000","1,498.01"
2019-03-14,"2,000","1,141.27"
2019-03-15,"2,000","1,684.18"
2019-03-16,"2,000","2,435.12"
2019-03-17,"2,000","1,837.87"
2019-03-18,"2,000",659.57
2019-03-19,"2,000",982.2
2019-03-20,"2,000","1,542.81"
2019-03-21,"2,000","2,365.81"
2019-03-22,"2,000","2,523.41"
2019-03-23,"2,000","1,736.63"
2019-03-24,"2,000","1,984"
2019-03-25,"2,000",931.54
2019-03-26,"2,000","1,672.79"
2019-03-27,"2,000","2,639.99"
2019-03-28,"2,000","1,066.12"
2019-03-29,"2,000","1,330.54"
2019-03-30,"2,000",692.02
2019-03-31,"2,000","2,177.75"
2019-04-01,"2,000","4,019.93"
2019-04-02,"2,500","1,909.27"
2019-04-03,"2,500","1,748.14"
2019-04-04,"2,500","1,136.06"
2019-04-05,"2,500","2,342.68"
2019-04-06,"2,500","2,307.25"
2019-04-07,"2,500","2,719.46"
2019-04-08,"2,500","2,200.69"
2019-04-09,"3,000","1,740.91"
2019-04-10,"3,000","2,143.39"
2019-04-11,"3,000",804.85
2019-04-12,"3,000","1,631.25"
2019-04-13,"3,000","2,872.23"
2019-04-14,"3,000","1,747"
2019-04-15,"3,000","1,593.58"
2019-04-16,"4,000","2,168.04"
2019-04-17,"4,000","2,526.49"
2019-04-18,"4,000","1,476.58"
2019-04-19,"4,000","1,754.92"
2019-04-20,"4,000","1,330.34"
2019-04-21,"4,000","3,078.84"
2019-04-22,"4,000","1,608.26"
2019-04-23,"3,500","3,107.11"
2019-04-24,"3,500","1,650.62"
2019-04-25,"3,500",620.94
2019-04-26,"3,500","1,363.31"
2019-04-27,"3,500","2,056.17"
2019-04-28,"3,500","2,019.73"
2019-04-29,"3,500","3,549.13"
2019-04-30,"3,000","1,799.66"
2019-05-01,"3,000","1,108.88"
2019-05-02,"3,000",732.47
2019-05-03,"3,000","2,406.31"
2019-05-04,"3,000","2,407.55"
2019-05-05,"3,000","1,177.76"
2019-05-06,"3,000","2,100.89"
2019-05-07,"3,000","2,271"
2019-05-08,"3,000",869.25
2019-05-09,"3,000","1,771.32"
2019-05-10,"3,000","1,942.13"
2019-05-11,"3,000","1,801.66"
2019-05-12,"3,000","2,113.63"
2019-05-13,"3,000","2,697.6"
