"month","new_customers","order_count","total_revenue","total_spend","online_spend","aov","cac","roas","roas_online"
2019-01-01,215,"2,102","462,866.9","154,928.95","58,328.95",220.2,720.6,2.99,7.94
2019-02-01,96,"1,664","360,036.4","137,107.92","55,807.92",216.37,"1,428.21",2.63,6.45
2019-03-01,177,"1,991","410,408.03","122,250.09","48,750.09",206.13,690.68,3.36,8.42
2019-04-01,163,"1,813","443,100.16","157,026.83","61,026.83",244.4,963.35,2.82,7.26
2019-05-01,112,"2,034","349,159.59","118,259.64","52,759.64",171.66,"1,055.89",2.95,6.62
2019-06-01,137,"1,940","358,594.96","134,318.14","53,818.14",184.84,980.42,2.67,6.66
2019-07-01,94,"2,080","421,362","120,217.85","52,717.85",202.58,"1,278.91",3.5,7.99
2019-08-01,135,"2,414","462,309.94","142,904.15","57,404.15",191.51,"1,058.55",3.24,8.05
2019-09-01,78,"1,932","401,553.82","135,514.54","52,514.54",207.84,"1,737.37",2.96,7.65
2019-10-01,87,"2,125","455,643.16","151,224.65","57,724.65",214.42,"1,738.21",3.01,7.89
2019-11-01,68,"2,282","541,254.55","161,144.96","68,144.96",237.18,"2,369.78",3.36,7.94
2019-12-01,106,"2,684","561,140.18","198,648.75","76,648.75",209.07,"1,874.04",2.82,7.32
