"customers_per_order","transaction_id","transaction_date","total_quantity","total_delivery_charges","total_revenue","transaction_year","transaction_month","transaction_month_str","transaction_day_of_month","transaction_day_of_week"
1,"16,679",2019-01-01,1,6.5,160.21,"2,019",1,jan,1,tuesday
1,"16,680",2019-01-01,1,6.5,160.21,"2,019",1,jan,1,tuesday
1,"16,681",2019-01-01,1,6.5,8.55,"2,019",1,jan,1,tuesday
2,"16,682",2019-01-01,175,65,755.59,"2,019",1,jan,1,tuesday
1,"16,684",2019-01-01,3,13,340.04,"2,019",1,jan,1,tuesday
1,"16,685",2019-01-01,3,19.5,58.26,"2,019",1,jan,1,tuesday
1,"16,687",2019-01-01,10,39,67.82,"2,019",1,jan,1,tuesday
1,"16,688",2019-01-01,1,6.5,129.27,"2,019",1,jan,1,tuesday
1,"16,689",2019-01-01,1,6.5,160.21,"2,019",1,jan,1,tuesday
1,"16,692",2019-01-01,55,513.95,952.6,"2,019",1,jan,1,tuesday
1,"16,693",2019-01-01,2,13,90.56,"2,019",1,jan,1,tuesday
1,"16,694",2019-01-01,1,6.5,129.27,"2,019",1,jan,1,tuesday
1,"16,695",2019-01-01,8,52,202.13,"2,019",1,jan,1,tuesday
3,"16,696",2019-01-01,10,45.5,326.09,"2,019",1,jan,1,tuesday
1,"16,697",2019-01-01,2,13,39.8,"2,019",1,jan,1,tuesday
1,"16,699",2019-01-01,1,6.5,88,"2,019",1,jan,1,tuesday
1,"16,700",2019-01-01,1,6.5,160.21,"2,019",1,jan,1,tuesday
1,"16,701",2019-01-01,1,6.5,160.21,"2,019",1,jan,1,tuesday
1,"16,702",2019-01-01,2,6.5,313.92,"2,019",1,jan,1,tuesday
1,"16,703",2019-01-01,2,6.5,169.5,"2,019",1,jan,1,tuesday
1,"16,704",2019-01-01,37,45.5,873.57,"2,019",1,jan,1,tuesday
1,"16,706",2019-01-01,1,6.5,20.52,"2,019",1,jan,1,tuesday
1,"16,710",2019-01-01,1,28.78,182.49,"2,019",1,jan,1,tuesday
1,"16,712",2019-01-01,1,6.5,160.21,"2,019",1,jan,1,tuesday
1,"16,713",2019-01-01,1,6.5,129.27,"2,019",1,jan,1,tuesday
1,"16,715",2019-01-01,1,6.5,64.26,"2,019",1,jan,1,tuesday
1,"16,716",2019-01-01,2,13,34.64,"2,019",1,jan,1,tuesday
1,"16,717",2019-01-01,8,13,64.52,"2,019",1,jan,1,tuesday
1,"16,719",2019-01-01,1,6.5,160.21,"2,019",1,jan,1,tuesday
1,"16,720",2019-01-01,2,13,289.48,"2,019",1,jan,1,tuesday
