"month","series","value","gap"
2019-01-01,Control mean,852.58,"29,777.8586666667"
2019-01-01,Treated mean,"30,630.4386666667","29,777.8586666667"
2019-02-01,Control mean,814.6175,"24,669.5203571429"
2019-02-01,Treated mean,"25,484.1378571429","24,669.5203571429"
2019-03-01,Control mean,"1,349.2525","25,651.4821666667"
2019-03-01,Treated mean,"27,000.7346666667","25,651.4821666667"
2019-04-01,Control mean,"1,331.5525","27,853.3775"
2019-04-01,Treated mean,"29,184.93","27,853.3775"
2019-05-01,Control mean,"1,114.205","21,865.9796666667"
2019-05-01,Treated mean,"22,980.1846666667","21,865.9796666667"
2019-06-01,Control mean,819.1233333333,"22,923.3826666667"
2019-06-01,Treated mean,"23,742.506","22,923.3826666667"
2019-07-01,Control mean,"1,274.76","26,561.088"
2019-07-01,Treated mean,"27,835.848","26,561.088"
2019-08-01,Control mean,756.3033333333,"27,996.2610416667"
2019-08-01,Treated mean,"28,752.564375","27,996.2610416667"
2019-09-01,Control mean,497.26,"26,206.6933333333"
2019-09-01,Treated mean,"26,703.9533333333","26,206.6933333333"
2019-10-01,Control mean,868.24,"31,553.6657142857"
2019-10-01,Treated mean,"32,421.9057142857","31,553.6657142857"
2019-11-01,Control mean,383.96,"48,786.0936363636"
2019-11-01,Treated mean,"49,170.0536363636","48,786.0936363636"
2019-12-01,Control mean,,
2019-12-01,Treated mean,"43,164.6292307692",
