"product_category","month_str","month_num","revenue","orders","discount_pct","treated"
Accessories,"2019-01",1,58.07,1,10.0,1
Accessories,"2019-03",3,66.49000000000001,1,30.0,1
Accessories,"2019-04",4,191.96,3,10.0,1
Accessories,"2019-05",5,190.97,6,20.0,1
Accessories,"2019-06",6,263.72,6,30.0,1
Accessories,"2019-07",7,1978.8300000000002,5,10.0,1
Accessories,"2019-08",8,390.01,8,20.0,1
Accessories,"2019-09",9,1495.27,12,30.0,1
Accessories,"2019-10",10,1837.21,42,10.0,1
Accessories,"2019-11",11,2438.54,60,20.0,1
Accessories,"2019-12",12,1172.08,47,30.0,1
Android,"2019-01",1,100.24000000000001,4,10.0,1
Android,"2019-02",2,26.49,1,20.0,1
Android,"2019-03",3,242.22,7,30.0,1
Android,"2019-04",4,52.98,2,10.0,1
Android,"2019-05",5,121.95,5,20.0,1
Android,"2019-06",6,225.9,9,30.0,1
Android,"2019-07",7,163.91,8,10.0,1
Android,"2019-08",8,144.03,7,20.0,1
Apparel,"2019-01",1,53831.06,471,10.0,1
Apparel,"2019-02",2,51215.94,497,20.0,1
Apparel,"2019-03",3,76105.78,701,30.0,1
Apparel,"2019-04",4,101988.41,710,10.0,1
Apparel,"2019-05",5,74306.92,891,20.0,1
Apparel,"2019-06",6,60368.909999999996,756,30.0,1
Apparel,"2019-07",7,83341.61,826,10.0,1
Apparel,"2019-08",8,77844.4,1100,20.0,1
Apparel,"2019-09",9,69378.37999999999,603,30.0,1
Apparel,"2019-10",10,35863.85,507,10.0,1
Apparel,"2019-11",11,24309.06,401,20.0,1
Apparel,"2019-12",12,59455.92,666,30.0,1
Backpacks,"2019-01",1,309.21,3,0.0,0
Backpacks,"2019-02",2,606.22,5,0.0,0
Backpacks,"2019-03",3,738.22,6,0.0,0
Backpacks,"2019-04",4,1191.44,10,0.0,0
Backpacks,"2019-05",5,1565.82,21,0.0,0
Backpacks,"2019-06",6,336.84,4,0.0,0
Backpacks,"2019-07",7,781.9,7,0.0,0
Backpacks,"2019-08",8,1574.53,10,0.0,0
Backpacks,"2019-09",9,758.08,6,0.0,0
Backpacks,"2019-10",10,1689.3899999999999,8,0.0,0
Backpacks,"2019-11",11,383.96,4,0.0,0
Bags,"2019-01",1,13966.2,118,10.0,1
Bags,"2019-02",2,22117.93,110,20.0,1
Bags,"2019-03",3,17635.02,161,30.0,1
Bags,"2019-04",4,13134.33,125,10.0,1
Bags,"2019-05",5,11669.82,124,20.0,1
Bags,"2019-06",6,14270.11,121,30.0,1
Bags,"2019-07",7,13915.75,168,10.0,1
Bags,"2019-08",8,18737.350000000002,162,20.0,1
Bags,"2019-09",9,11167.380000000001,141,30.0,1
Bags,"2019-10",10,16272.78,122,10.0,1
Bags,"2019-11",11,13935.029999999999,108,20.0,1
Bags,"2019-12",12,10137.78,85,30.0,1
Bottles,"2019-01",1,1080.43,15,10.0,1
Bottles,"2019-02",2,568.11,19,20.0,1
Bottles,"2019-03",3,710.9200000000001,22,30.0,1
Bottles,"2019-04",4,745.12,18,10.0,1
Bottles,"2019-05",5,1506.89,25,20.0,1
Bottles,"2019-06",6,799.7900000000001,22,30.0,1
Bottles,"2019-07",7,1587.07,38,10.0,1
Bottles,"2019-08",8,750.61,37,20.0,1
Bottles,"2019-09",9,2057.8700000000003,40,30.0,1
Bottles,"2019-10",10,621.81,22,10.0,1
Drinkware,"2019-01",1,19010.96,217,10.0,1
Drinkware,"2019-02",2,19715.75,203,20.0,1
Drinkware,"2019-03",3,28638.739999999998,272,30.0,1
Drinkware,"2019-04",4,30711.43,185,10.0,1
Drinkware,"2019-05",5,19829.87,211,20.0,1
Drinkware,"2019-06",6,20301.54,185,30.0,1
Drinkware,"2019-07",7,15543.56,232,10.0,1
Drinkware,"2019-08",8,28493.96,327,20.0,1
Drinkware,"2019-09",9,22302.1,235,30.0,1
Drinkware,"2019-10",10,25462.61,220,10.0,1
Drinkware,"2019-11",11,8950.58,135,20.0,1
Drinkware,"2019-12",12,11874.91,102,30.0,1
Fun,"2019-01",1,408.94,11,0.0,0
Fun,"2019-02",2,454.3,12,0.0,0
Fun,"2019-03",3,898.86,15,0.0,0
Fun,"2019-04",4,2538.29,14,0.0,0
Fun,"2019-05",5,805.9300000000001,12,0.0,0
Fun,"2019-06",6,863.07,16,0.0,0
Fun,"2019-07",7,1252.54,34,0.0,0
Fun,"2019-08",8,403.86,20,0.0,0
Fun,"2019-09",9,236.44,9,0.0,0
Fun,"2019-10",10,47.09,3,0.0,0
Gift Cards,"2019-01",1,283.69,4,10.0,1
Gift Cards,"2019-02",2,400.0,6,20.0,1
Gift Cards,"2019-03",3,375.0,6,30.0,1
Gift Cards,"2019-04",4,725.0,7,10.0,1
Gift Cards,"2019-05",5,1325.0,24,20.0,1
Gift Cards,"2019-06",6,1200.0,10,30.0,1
Gift Cards,"2019-07",7,500.0,10,10.0,1
Gift Cards,"2019-08",8,750.0,9,20.0,1
Gift Cards,"2019-09",9,600.0,3,30.0,1
Gift Cards,"2019-10",10,12575.0,68,10.0,1
Gift Cards,"2019-12",12,800.13,10,30.0,1
Google,"2019-01",1,1245.71,21,0.0,0
Google,"2019-02",2,1722.1299999999999,15,0.0,0
Google,"2019-03",3,3129.64,17,0.0,0
Google,"2019-04",4,1141.61,10,0.0,0
Google,"2019-05",5,1649.85,11,0.0,0
Google,"2019-06",6,1257.4599999999998,13,0.0,0
Google,"2019-07",7,1789.8400000000001,12,0.0,0
Google,"2019-08",8,290.52,6,0.0,0
Headgear,"2019-01",1,2819.89,43,10.0,1
Headgear,"2019-02",2,5219.4,56,20.0,1
Headgear,"2019-03",3,3886.0,59,30.0,1
Headgear,"2019-04",4,12906.75,60,10.0,1
Headgear,"2019-05",5,3598.89,54,20.0,1
Headgear,"2019-06",6,1786.12,61,30.0,1
Headgear,"2019-07",7,3101.59,102,10.0,1
Headgear,"2019-08",8,22756.68,98,20.0,1
Headgear,"2019-09",9,1550.27,57,30.0,1
Headgear,"2019-10",10,951.29,22,10.0,1
Headgear,"2019-11",11,693.2,16,20.0,1
