signup_month,0,1,2,3,4,5,6,7,8,9,10,11
2019-01,100.0,6.0,11.2,15.8,10.7,20.5,16.3,21.9,10.7,13.0,9.3,15.8
2019-02,100.0,7.3,9.4,16.7,17.7,22.9,19.8,15.6,12.5,11.5,16.7,0.0
2019-03,100.0,10.2,19.8,14.1,18.1,18.6,12.4,12.4,8.5,10.7,0.0,0.0
2019-04,100.0,8.6,14.7,14.7,11.0,9.2,6.1,9.8,7.4,0.0,0.0,0.0
2019-05,100.0,10.7,8.0,11.6,8.9,11.6,12.5,7.1,0.0,0.0,0.0,0.0
2019-06,100.0,14.6,16.1,8.8,8.0,10.2,8.0,0.0,0.0,0.0,0.0,0.0
2019-07,100.0,13.8,4.3,6.4,11.7,9.6,0.0,0.0,0.0,0.0,0.0,0.0
2019-08,100.0,10.4,11.1,7.4,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-09,100.0,7.7,3.8,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10,100.0,6.9,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-11,100.0,10.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
