"name","description","date_iso","type"
New Year's Day,"New Year's Day is the first day of the Gregorian calendar, which is widely used in many countries such as the USA.","2019-01-01",National holiday
World Braille Day,"World Braille Day celebrates the life and achievements of Louis Braille, who invented the braille code for the visually impaired.","2019-01-04",United Nations observance
Epiphany,"Many people in the United States annually observe Epiphany, or Three Kings’ Day, on January 6. It is a Christian observance and a public holiday in the US Virgin Islands.","2019-01-06",Christian
Orthodox Christmas Day,Many Orthodox Christian churches in countries such as the United States observe Christmas Day on or near January 7 in the Gregorian calendar.,"2019-01-07",Orthodox
International Programmers' Day,"Many people celebrate International Programmers’ Day on January 7, while others observe this event on the 256th day of the year, usually on September 13 or on September 12 in leap years.","2019-01-07",Worldwide observance
Estelle Reel Day,Estelle Reel Day is a state observance in the USA,"2019-01-07",Local observance
Battle of New Orleans,Battle of New Orleans is a state legal holiday in the USA,"2019-01-08",Local observance
Stephen Foster Memorial Day,"Stephen Foster Memorial Day is annually observed in the United States on January 13. The day remembers the achievements of Stephen Foster, who is known as the “father of American music”.","2019-01-13",Observance
Orthodox New Year,Many Orthodox Christian churches in countries such as the United States celebrate New Year’s Day on January 14 in the Gregorian calendar.,"2019-01-14",Orthodox
Lee-Jackson Day,"Lee-Jackson Day is an annual state holiday in Virginia, the United States, on the Friday before Martin Luther King Day in January.","2019-01-18",Local holiday
Robert E. Lee's Birthday,Robert E. Lee’s birthday is an annual official state holiday that is shared with Martin Luther King’s birthday in some parts of the US.,"2019-01-19",Local observance
State Holiday,State Holiday is a state observance in the USA,"2019-01-19",Local observance
Confederate Heroes' Day,On Confederate Memorial Day remembers the soldiers who died fighting for the Confederate States of America during the American Civil War (1861-1865). It is a state holiday in some parts of the United States.,"2019-01-19",Local holiday
World Religion Day,World Religion Day fosters interfaith dialogue and understanding of all religions.,"2019-01-20",Worldwide observance
Tu Bishvat/Tu B'Shevat,"Tu B’Shevat, known as the “New Year for Trees”, is a Jewish festival similar to Arbor Day.","2019-01-21",Hebrew
Martin Luther King Jr. Day,Martin Luther King Day marks the anniversary of the date of birth of the influential American civil right leader of the same name.,"2019-01-21",National holiday
Robert E. Lee's Birthday,Robert E. Lee’s birthday is an annual official state holiday that is shared with Martin Luther King’s birthday in some parts of the US.,"2019-01-21",Local holiday
Robert E. Lee's Birthday,Robert E. Lee’s birthday is an annual official state holiday that is shared with Martin Luther King’s birthday in some parts of the US.,"2019-01-21",Local holiday
Idaho Human Rights Day,"Idaho Human Rights Day is a state holiday in Idaho, the United States, on the third Monday of January.","2019-01-21",Local holiday
Civil Rights Day,Civil Rights Day is on the third Monday of January in Arizona and New Hampshire. It honors civil rights activists such as Martin Luther King Jr.,"2019-01-21",Local holiday
