"month","i_arpu","treated_cust","i_revenue","coupon_budget","i_gross_profit","i_net_profit_after_coupons","i_cum_revenue","i_cum_net_profit","go_flag"
"2019-01",343.08793462696474,188,64500.53170986937,12971.820000000002,32250.265854934685,19278.445854934682,64500.53170986937,19278.445854934682,GO
"2019-02",430.7486719481547,101,43505.61586676363,19423.334000000003,21752.807933381813,2329.4739333818106,108006.147576633,21607.919788316492,GO
"2019-03",254.70326129704063,192,48903.0261690318,33966.564,24451.5130845159,-9515.050915484098,156909.1737456648,12092.868872832394,NO-GO
"2019-04",441.7071077879112,193,85249.47180306686,13440.403,42624.73590153343,29184.33290153343,242158.64554873167,41277.20177436582,GO
"2019-05",245.7974670088425,170,41785.569391503224,18889.306,20892.784695751612,2003.4786957516117,283944.2149402349,43280.68047011743,GO
"2019-06",190.44515507938738,234,44564.16628857665,32169.164999999997,22282.083144288325,-9887.081855711673,328508.3812288116,33393.59861440576,NO-GO
"2019-07",272.737523400501,199,54274.7671566997,12012.284,27137.38357834985,15125.099578349851,382783.14838551125,48518.69819275561,GO
"2019-08",160.58399522019266,268,43036.51071901163,28110.166,21518.255359505816,-6591.910640494185,425819.6591045229,41926.78755226143,NO-GO
"2019-09",227.37759618608976,171,38881.568947821346,39988.049999999996,19440.784473910673,-20547.265526089323,464701.22805234423,21379.522026172104,NO-GO
"2019-10",381.3078217391575,182,69398.02355652666,13517.545,34699.01177826333,21181.466778263333,534099.2516088709,42560.98880443544,GO
"2019-11",394.58639480002023,168,66290.5143264034,35706.578,33145.2571632017,-2561.3208367983025,600389.7659352743,39999.667967637135,NO-GO
"2019-12",391.7530269122981,211,82659.8886784949,50577.242999999995,41329.94433924745,-9247.298660752545,683049.6546137691,30752.36930688459,NO-GO
