"product_category","tenure_segment","customer_location","i_arpu_w","treated_cust","coupon_budget","i_revenue","i_gross_profit","i_net_profit_after_coupons","i_roas_on_coupons","go_flag"
Accessories,Tenure_Q1,California,-7.021666666666668,3.0,3.6920000000000006,-21.065000000000005,-10.532500000000002,-14.224500000000003,-2.852789815817985,NO-GO
Accessories,Tenure_Q1,Illinois,64.41111111111111,6.0,94.568,386.4666666666667,193.23333333333335,98.66533333333335,2.0433268477004205,GO
Accessories,Tenure_Q1,New Jersey,0.0,0.0,0.0,0.0,0.0,0.0,,NO-GO
Accessories,Tenure_Q1,New York,-12.66,2.0,1.455,-25.32,-12.66,-14.115,-8.70103092783505,NO-GO
Accessories,Tenure_Q1,Washington DC,0.0,0.0,0.0,0.0,0.0,0.0,,NO-GO
Accessories,Tenure_Q2,California,39.230000000000004,6.0,32.775,235.38000000000002,117.69000000000001,84.91500000000002,3.5908466819221974,GO
Accessories,Tenure_Q2,Illinois,2.822499999999998,7.0,18.065,19.757499999999986,9.878749999999993,-8.186250000000008,0.5468447273733735,NO-GO
Accessories,Tenure_Q2,New Jersey,0.0,1.0,4.884,0.0,0.0,-4.884,0.0,NO-GO
Accessories,Tenure_Q2,New York,22.673333333333346,4.0,27.151000000000003,90.69333333333338,45.34666666666669,18.19566666666669,1.6701656169815728,GO
Accessories,Tenure_Q2,Washington DC,0.0,0.0,0.0,0.0,0.0,0.0,,NO-GO
Accessories,Tenure_Q3,California,161.8675,5.0,221.62300000000002,809.3375000000001,404.66875000000005,183.04575000000003,1.825933003343516,GO
Accessories,Tenure_Q3,Illinois,95.0425,4.0,28.055,380.17,190.085,162.03,6.775441097843522,GO
Accessories,Tenure_Q3,New Jersey,0.0,3.0,13.795000000000002,0.0,0.0,-13.795000000000002,0.0,NO-GO
Accessories,Tenure_Q3,New York,74.7,3.0,39.830999999999996,224.10000000000002,112.05000000000001,72.21900000000002,2.81313549747684,GO
Accessories,Tenure_Q3,Washington DC,0.0,0.0,0.0,0.0,0.0,0.0,,NO-GO
Accessories,Tenure_Q4,California,58.723333333333336,4.0,38.952,234.89333333333335,117.44666666666667,78.49466666666667,3.015163962483741,GO
Accessories,Tenure_Q4,Illinois,-11.589583333333332,6.0,18.46,-69.5375,-34.76875,-53.22875,-1.883464247020585,NO-GO
Accessories,Tenure_Q4,New Jersey,0.0,1.0,1.037,0.0,0.0,-1.037,0.0,NO-GO
Accessories,Tenure_Q4,New York,1.8066666666666658,6.0,12.539000000000001,10.839999999999995,5.419999999999997,-7.119000000000004,0.43225137570779143,NO-GO
Accessories,Tenure_Q4,Washington DC,-6.790000000000001,1.0,0.798,-6.790000000000001,-3.3950000000000005,-4.1930000000000005,-4.254385964912281,NO-GO
Android,Tenure_Q1,California,0.0,0.0,0.0,0.0,0.0,0.0,,NO-GO
Android,Tenure_Q1,Illinois,0.0,1.0,2.238,0.0,0.0,-2.238,0.0,NO-GO
Android,Tenure_Q1,New Jersey,3.9999999999999964,1.0,5.996999999999999,3.9999999999999964,1.9999999999999982,-3.9970000000000008,0.33350008337502063,NO-GO
Android,Tenure_Q1,New York,0.0,0.0,0.0,0.0,0.0,0.0,,NO-GO
Android,Tenure_Q1,Washington DC,0.0,0.0,0.0,0.0,0.0,0.0,,NO-GO
Android,Tenure_Q2,California,0.0,3.0,5.4190000000000005,0.0,0.0,-5.4190000000000005,0.0,NO-GO
Android,Tenure_Q2,Illinois,0.0,1.0,1.9989999999999999,0.0,0.0,-1.9989999999999999,0.0,NO-GO
Android,Tenure_Q2,New Jersey,0.0,0.0,0.0,0.0,0.0,0.0,,NO-GO
Android,Tenure_Q2,New York,0.0,0.0,0.0,0.0,0.0,0.0,,NO-GO
Android,Tenure_Q2,Washington DC,0.0,0.0,0.0,0.0,0.0,0.0,,NO-GO
Android,Tenure_Q3,California,0.0,0.0,0.0,0.0,0.0,0.0,,NO-GO
Android,Tenure_Q3,Illinois,43.23,1.0,4.797,43.23,21.615,16.817999999999998,4.505941213258287,GO
Android,Tenure_Q3,New Jersey,0.0,0.0,0.0,0.0,0.0,0.0,,NO-GO
Android,Tenure_Q3,New York,0.0,0.0,0.0,0.0,0.0,0.0,,NO-GO
Android,Tenure_Q3,Washington DC,0.0,0.0,0.0,0.0,0.0,0.0,,NO-GO
Android,Tenure_Q4,California,0.0,1.0,4.797,0.0,0.0,-4.797,0.0,NO-GO
Android,Tenure_Q4,Illinois,0.0,0.0,0.0,0.0,0.0,0.0,,NO-GO
Android,Tenure_Q4,New Jersey,0.0,0.0,0.0,0.0,0.0,0.0,,NO-GO
Android,Tenure_Q4,New York,-2.8000000000000043,2.0,4.300000000000001,-5.6000000000000085,-2.8000000000000043,-7.100000000000005,-0.6511627906976754,NO-GO
Android,Tenure_Q4,Washington DC,0.0,0.0,0.0,0.0,0.0,0.0,,NO-GO
Apparel,Tenure_Q1,California,299.94265005646525,86.0,2492.0919999999996,25795.067904856012,12897.533952428006,10405.441952428006,5.175384356768533,GO
Apparel,Tenure_Q1,Illinois,284.3637109557109,93.0,2963.7709999999997,26445.825118881115,13222.912559440558,10259.141559440559,4.461516277553346,GO
Apparel,Tenure_Q1,New Jersey,219.1321439393939,38.0,663.5859999999999,8327.021469696969,4163.510734848484,3499.9247348484846,6.274259455215278,GO
Apparel,Tenure_Q1,New York,314.9154747157604,78.0,2689.9610000000002,24563.40702782931,12281.703513914656,9591.742513914654,4.565755233594336,GO
