"customer_id","gender","location","tenure_months"
17850,M,Illinois,12
13047,M,California,43
12583,M,Illinois,33
13748,F,California,30
15100,M,California,49
15291,M,California,32
14688,F,New York,46
17809,F,New Jersey,24
15311,F,Illinois,40
14527,M,California,43
16098,M,Illinois,49
18074,F,California,10
17420,F,New York,19
16029,F,Washington DC,40
16250,F,California,30
12431,F,New Jersey,14
17511,F,Illinois,25
17548,M,Illinois,50
13705,F,Illinois,39
13747,F,Illinois,21
13408,M,Illinois,30
13767,F,Illinois,29
17924,M,New Jersey,26
13448,F,California,41
15862,F,California,24
15513,F,Illinois,21
12791,F,Washington DC,26
16218,M,Illinois,40
14045,F,California,14
14307,F,California,28
17908,F,California,15
17920,F,California,18
12838,F,California,31
13255,M,California,15
16583,F,California,27
18085,M,Illinois,34
13758,M,Washington DC,46
13694,F,California,44
15983,M,New York,25
14849,F,New Jersey,45
17968,M,New York,33
16210,M,New York,49
17897,M,Washington DC,19
17377,M,Illinois,34
16552,F,California,27
17181,F,New York,49
17951,F,Illinois,36
14729,M,Washington DC,43
12748,F,Illinois,28
15012,F,California,42
12868,F,California,8
17572,F,Illinois,49
14078,F,New York,7
14001,F,New York,10
12662,M,Illinois,21
15525,M,New York,48
14237,F,Illinois,39
17905,M,New York,42
15485,M,New York,25
12433,M,California,32
16955,F,New York,15
15350,M,California,48
15605,F,California,21
18144,F,California,26
15922,M,Illinois,29
14594,M,California,5
15165,F,New Jersey,36
14911,F,California,34
16456,M,California,47
17841,M,California,21
12472,F,New Jersey,2
17346,F,New Jersey,12
17643,F,California,33
17873,M,California,26
13093,M,California,35
12921,M,New York,49
13468,M,New York,33
17760,F,New Jersey,45
16928,F,California,19
16048,M,New Jersey,12
16274,F,California,43
14496,F,California,47
14696,M,New York,48
16539,M,California,2
17025,F,Illinois,45
13777,F,California,7
17690,F,Illinois,6
12947,M,California,48
17460,F,California,35
18229,M,New York,16
14142,F,Illinois,21
17069,F,California,10
13065,F,Illinois,32
14606,F,Illinois,33
16835,M,Illinois,11
15235,F,New Jersey,23
13576,M,New York,23
18011,M,California,7
13090,M,New Jersey,4
15694,F,New York,41
14741,M,California,32
13715,M,California,23
14092,F,Illinois,41
17732,F,Illinois,8
12855,F,New York,33
15752,F,New York,27
17855,F,New York,13
14047,F,California,10
17925,M,New York,12
13941,F,New York,38
17017,M,California,40
14135,F,Illinois,21
13108,F,Illinois,45
12471,F,California,11
15601,F,Illinois,46
13418,F,New York,22
14766,M,New York,24
15658,M,Illinois,24
14388,F,California,6
14901,F,Illinois,4
18041,M,Washington DC,30
15955,F,California,49
15070,F,Washington DC,39
16244,F,New York,36
15111,M,New Jersey,9
14390,M,Illinois,37
16546,F,California,42
15260,F,Illinois,45
13305,F,Illinois,38
14491,F,California,6
14060,F,Illinois,22
15923,F,Illinois,34
16752,M,New York,42
17287,F,Washington DC,45
15363,M,New York,32
12915,F,Washington DC,3
15544,M,Illinois,22
15738,M,New Jersey,16
16042,F,Illinois,16
17381,M,New Jersey,17
15827,F,Illinois,3
14180,F,California,11
13117,M,New Jersey,30
16916,F,New York,7
17964,M,New Jersey,5
14466,F,Illinois,18
17235,M,California,12
16510,F,California,39
17802,F,California,13
15107,F,New York,20
17976,M,Washington DC,12
14449,M,New Jersey,39
15838,F,Illinois,9
16781,F,New York,38
17547,M,Illinois,41
13491,F,Illinois,16
16186,F,New York,18
17685,M,Washington DC,37
17581,M,California,25
15732,F,Illinois,21
13138,F,California,21
15823,M,New York,27
17567,F,California,9
15061,M,California,7
16203,M,California,9
15640,F,California,30
15574,F,New York,5
16770,F,Illinois,26
17838,F,California,14
17228,M,Illinois,42
14829,M,California,15
17412,F,California,19
14031,F,Illinois,17
14775,F,Illinois,25
12971,F,Washington DC,43
15834,M,Illinois,12
17659,F,California,33
15299,M,Illinois,25
15646,M,California,10
13958,F,New Jersey,22
14443,F,New Jersey,41
14156,F,California,5
16995,F,California,50
13402,M,Illinois,42
18168,F,Illinois,5
17757,F,New York,45
14625,F,Illinois,14
13011,F,New York,18
13798,M,California,37
15384,M,California,30
14264,M,Illinois,16
13295,F,New York,33
16754,F,New Jersey,5
16634,F,New York,33
18239,M,New York,20
14576,F,Illinois,26
13145,F,California,4
