"customers_per_order","transaction_id","transaction_date","total_quantity","total_delivery_charges","total_revenue","transaction_year","transaction_month","transaction_month_str","transaction_day_of_month","transaction_day_of_week"
1,16679,2019-01-01,1,6.5,160.21,2019.0,1.0,jan,1.0,tuesday
1,16680,2019-01-01,1,6.5,160.21,2019.0,1.0,jan,1.0,tuesday
1,16681,2019-01-01,1,6.5,8.55,2019.0,1.0,jan,1.0,tuesday
2,16682,2019-01-01,175,65.0,755.5899999999999,2019.0,1.0,jan,1.0,tuesday
1,16684,2019-01-01,3,13.0,340.03999999999996,2019.0,1.0,jan,1.0,tuesday
1,16685,2019-01-01,3,19.5,58.26,2019.0,1.0,jan,1.0,tuesday
1,16687,2019-01-01,10,39.0,67.82,2019.0,1.0,jan,1.0,tuesday
1,16688,2019-01-01,1,6.5,129.26999999999998,2019.0,1.0,jan,1.0,tuesday
1,16689,2019-01-01,1,6.5,160.21,2019.0,1.0,jan,1.0,tuesday
1,16692,2019-01-01,55,513.95,952.6000000000001,2019.0,1.0,jan,1.0,tuesday
1,16693,2019-01-01,2,13.0,90.56,2019.0,1.0,jan,1.0,tuesday
1,16694,2019-01-01,1,6.5,129.26999999999998,2019.0,1.0,jan,1.0,tuesday
1,16695,2019-01-01,8,52.0,202.13,2019.0,1.0,jan,1.0,tuesday
3,16696,2019-01-01,10,45.5,326.09,2019.0,1.0,jan,1.0,tuesday
1,16697,2019-01-01,2,13.0,39.8,2019.0,1.0,jan,1.0,tuesday
1,16699,2019-01-01,1,6.5,88.0,2019.0,1.0,jan,1.0,tuesday
1,16700,2019-01-01,1,6.5,160.21,2019.0,1.0,jan,1.0,tuesday
1,16701,2019-01-01,1,6.5,160.21,2019.0,1.0,jan,1.0,tuesday
1,16702,2019-01-01,2,6.5,313.92,2019.0,1.0,jan,1.0,tuesday
1,16703,2019-01-01,2,6.5,169.5,2019.0,1.0,jan,1.0,tuesday
1,16704,2019-01-01,37,45.5,873.57,2019.0,1.0,jan,1.0,tuesday
1,16706,2019-01-01,1,6.5,20.52,2019.0,1.0,jan,1.0,tuesday
1,16710,2019-01-01,1,28.78,182.49,2019.0,1.0,jan,1.0,tuesday
1,16712,2019-01-01,1,6.5,160.21,2019.0,1.0,jan,1.0,tuesday
1,16713,2019-01-01,1,6.5,129.26999999999998,2019.0,1.0,jan,1.0,tuesday
1,16715,2019-01-01,1,6.5,64.25999999999999,2019.0,1.0,jan,1.0,tuesday
1,16716,2019-01-01,2,13.0,34.64,2019.0,1.0,jan,1.0,tuesday
1,16717,2019-01-01,8,13.0,64.52,2019.0,1.0,jan,1.0,tuesday
1,16719,2019-01-01,1,6.5,160.21,2019.0,1.0,jan,1.0,tuesday
1,16720,2019-01-01,2,13.0,289.48,2019.0,1.0,jan,1.0,tuesday
1,16721,2019-01-01,1,6.5,160.21,2019.0,1.0,jan,1.0,tuesday
1,16722,2019-01-01,3,13.0,412.25,2019.0,1.0,jan,1.0,tuesday
1,16723,2019-01-01,2,13.0,258.53999999999996,2019.0,1.0,jan,1.0,tuesday
1,16724,2019-01-01,1,6.5,129.26999999999998,2019.0,1.0,jan,1.0,tuesday
1,16725,2019-01-01,1,6.5,129.26999999999998,2019.0,1.0,jan,1.0,tuesday
1,16726,2019-01-01,2,13.0,90.56,2019.0,1.0,jan,1.0,tuesday
1,16727,2019-01-01,1,6.5,129.26999999999998,2019.0,1.0,jan,1.0,tuesday
1,16731,2019-01-01,2,6.5,252.04,2019.0,1.0,jan,1.0,tuesday
1,16732,2019-01-01,1,6.5,160.21,2019.0,1.0,jan,1.0,tuesday
1,16733,2019-01-01,1,6.5,129.26999999999998,2019.0,1.0,jan,1.0,tuesday
1,16736,2019-01-01,1,6.5,160.21,2019.0,1.0,jan,1.0,tuesday
1,16737,2019-01-02,2,6.5,45.68,2019.0,1.0,jan,2.0,wednesday
1,16738,2019-01-02,2,6.5,13.08,2019.0,1.0,jan,2.0,wednesday
1,16739,2019-01-02,1,6.5,129.26999999999998,2019.0,1.0,jan,2.0,wednesday
1,16740,2019-01-02,4,17.4,544.5699999999999,2019.0,1.0,jan,2.0,wednesday
1,16741,2019-01-02,1,6.5,160.21,2019.0,1.0,jan,2.0,wednesday
1,16742,2019-01-02,37,39.0,356.89000000000004,2019.0,1.0,jan,2.0,wednesday
1,16743,2019-01-02,3,8.7,330.57,2019.0,1.0,jan,2.0,wednesday
1,16744,2019-01-02,1,8.7,214.0,2019.0,1.0,jan,2.0,wednesday
1,16745,2019-01-02,1,6.5,129.26999999999998,2019.0,1.0,jan,2.0,wednesday
2,16747,2019-01-02,2,13.0,45.989999999999995,2019.0,1.0,jan,2.0,wednesday
1,16748,2019-01-02,1,6.5,160.21,2019.0,1.0,jan,2.0,wednesday
1,16749,2019-01-02,3,19.5,48.349999999999994,2019.0,1.0,jan,2.0,wednesday
1,16750,2019-01-02,1,6.5,68.39,2019.0,1.0,jan,2.0,wednesday
1,16751,2019-01-02,4,17.4,735.4200000000001,2019.0,1.0,jan,2.0,wednesday
1,16752,2019-01-02,1,6.5,32.28,2019.0,1.0,jan,2.0,wednesday
1,16753,2019-01-02,3,6.5,251.0,2019.0,1.0,jan,2.0,wednesday
1,16754,2019-01-02,1,6.5,160.21,2019.0,1.0,jan,2.0,wednesday
1,16755,2019-01-02,1,6.5,129.26999999999998,2019.0,1.0,jan,2.0,wednesday
1,16756,2019-01-02,1,6.5,160.21,2019.0,1.0,jan,2.0,wednesday
1,16758,2019-01-02,1,6.5,34.55,2019.0,1.0,jan,2.0,wednesday
1,16759,2019-01-02,2,6.5,252.04,2019.0,1.0,jan,2.0,wednesday
1,16760,2019-01-02,2,6.5,252.04,2019.0,1.0,jan,2.0,wednesday
1,16761,2019-01-02,1,6.5,160.21,2019.0,1.0,jan,2.0,wednesday
1,16762,2019-01-02,1,6.5,129.26999999999998,2019.0,1.0,jan,2.0,wednesday
1,16763,2019-01-02,4,80.0,100.59,2019.0,1.0,jan,2.0,wednesday
1,16764,2019-01-02,2,6.5,252.04,2019.0,1.0,jan,2.0,wednesday
1,16767,2019-01-02,1,6.5,160.21,2019.0,1.0,jan,2.0,wednesday
1,16768,2019-01-02,67,19.5,272.53000000000003,2019.0,1.0,jan,2.0,wednesday
1,16769,2019-01-02,8,19.5,35.18000000000001,2019.0,1.0,jan,2.0,wednesday
1,16770,2019-01-02,2,6.5,313.92,2019.0,1.0,jan,2.0,wednesday
1,16772,2019-01-02,3,6.5,374.81,2019.0,1.0,jan,2.0,wednesday
3,16774,2019-01-02,10,65.0,504.40999999999997,2019.0,1.0,jan,2.0,wednesday
1,16776,2019-01-02,2,6.5,169.5,2019.0,1.0,jan,2.0,wednesday
